+---------------------------------------------------------------+
|            P R I M E S   F R O M   1   TO   9999              |
+---------------------------------------------------------------+

Author: Roupam Ghosh
Date:   29-02-2004

 2            is a prime
 3            is a prime
 5            is a prime
 7            is a prime
 11           is a prime
 13           is a prime
 17           is a prime
 19           is a prime
 23           is a prime
 29           is a prime
 31           is a prime
 37           is a prime
 41           is a prime
 43           is a prime
 47           is a prime
 53           is a prime
 59           is a prime
 61           is a prime
 67           is a prime
 71           is a prime
 73           is a prime
 79           is a prime
 83           is a prime
 89           is a prime
 97           is a prime
 101          is a prime
 103          is a prime
 107          is a prime
 109          is a prime
 113          is a prime
 127          is a prime
 131          is a prime
 137          is a prime
 139          is a prime
 149          is a prime
 151          is a prime
 157          is a prime
 163          is a prime
 167          is a prime
 173          is a prime
 179          is a prime
 181          is a prime
 191          is a prime
 193          is a prime
 197          is a prime
 199          is a prime
 211          is a prime
 223          is a prime
 227          is a prime
 229          is a prime
 233          is a prime
 239          is a prime
 241          is a prime
 251          is a prime
 257          is a prime
 263          is a prime
 269          is a prime
 271          is a prime
 277          is a prime
 281          is a prime
 283          is a prime
 293          is a prime
 307          is a prime
 311          is a prime
 313          is a prime
 317          is a prime
 331          is a prime
 337          is a prime
 347          is a prime
 349          is a prime
 353          is a prime
 359          is a prime
 367          is a prime
 373          is a prime
 379          is a prime
 383          is a prime
 389          is a prime
 397          is a prime
 401          is a prime
 409          is a prime
 419          is a prime
 421          is a prime
 431          is a prime
 433          is a prime
 439          is a prime
 443          is a prime
 449          is a prime
 457          is a prime
 461          is a prime
 463          is a prime
 467          is a prime
 479          is a prime
 487          is a prime
 491          is a prime
 499          is a prime
 503          is a prime
 509          is a prime
 521          is a prime
 523          is a prime
 541          is a prime
 547          is a prime
 557          is a prime
 563          is a prime
 569          is a prime
 571          is a prime
 577          is a prime
 587          is a prime
 593          is a prime
 599          is a prime
 601          is a prime
 607          is a prime
 613          is a prime
 617          is a prime
 619          is a prime
 631          is a prime
 641          is a prime
 643          is a prime
 647          is a prime
 653          is a prime
 659          is a prime
 661          is a prime
 673          is a prime
 677          is a prime
 683          is a prime
 691          is a prime
 701          is a prime
 709          is a prime
 719          is a prime
 727          is a prime
 733          is a prime
 739          is a prime
 743          is a prime
 751          is a prime
 757          is a prime
 761          is a prime
 769          is a prime
 773          is a prime
 787          is a prime
 797          is a prime
 809          is a prime
 811          is a prime
 821          is a prime
 823          is a prime
 827          is a prime
 829          is a prime
 839          is a prime
 853          is a prime
 857          is a prime
 859          is a prime
 863          is a prime
 877          is a prime
 881          is a prime
 883          is a prime
 887          is a prime
 907          is a prime
 911          is a prime
 919          is a prime
 929          is a prime
 937          is a prime
 941          is a prime
 947          is a prime
 953          is a prime
 967          is a prime
 971          is a prime
 977          is a prime
 983          is a prime
 991          is a prime
 997          is a prime
 1009         is a prime
 1013         is a prime
 1019         is a prime
 1021         is a prime
 1031         is a prime
 1033         is a prime
 1039         is a prime
 1049         is a prime
 1051         is a prime
 1061         is a prime
 1063         is a prime
 1069         is a prime
 1087         is a prime
 1091         is a prime
 1093         is a prime
 1097         is a prime
 1103         is a prime
 1109         is a prime
 1117         is a prime
 1123         is a prime
 1129         is a prime
 1151         is a prime
 1153         is a prime
 1163         is a prime
 1171         is a prime
 1181         is a prime
 1187         is a prime
 1193         is a prime
 1201         is a prime
 1213         is a prime
 1217         is a prime
 1223         is a prime
 1229         is a prime
 1231         is a prime
 1237         is a prime
 1249         is a prime
 1259         is a prime
 1277         is a prime
 1279         is a prime
 1283         is a prime
 1289         is a prime
 1291         is a prime
 1297         is a prime
 1301         is a prime
 1303         is a prime
 1307         is a prime
 1319         is a prime
 1321         is a prime
 1327         is a prime
 1361         is a prime
 1367         is a prime
 1373         is a prime
 1381         is a prime
 1399         is a prime
 1409         is a prime
 1423         is a prime
 1427         is a prime
 1429         is a prime
 1433         is a prime
 1439         is a prime
 1447         is a prime
 1451         is a prime
 1453         is a prime
 1459         is a prime
 1471         is a prime
 1481         is a prime
 1483         is a prime
 1487         is a prime
 1489         is a prime
 1493         is a prime
 1499         is a prime
 1511         is a prime
 1523         is a prime
 1531         is a prime
 1543         is a prime
 1549         is a prime
 1553         is a prime
 1559         is a prime
 1567         is a prime
 1571         is a prime
 1579         is a prime
 1583         is a prime
 1597         is a prime
 1601         is a prime
 1607         is a prime
 1609         is a prime
 1613         is a prime
 1619         is a prime
 1621         is a prime
 1627         is a prime
 1637         is a prime
 1657         is a prime
 1663         is a prime
 1667         is a prime
 1669         is a prime
 1693         is a prime
 1697         is a prime
 1699         is a prime
 1709         is a prime
 1721         is a prime
 1723         is a prime
 1733         is a prime
 1741         is a prime
 1747         is a prime
 1753         is a prime
 1759         is a prime
 1777         is a prime
 1783         is a prime
 1787         is a prime
 1789         is a prime
 1801         is a prime
 1811         is a prime
 1823         is a prime
 1831         is a prime
 1847         is a prime
 1861         is a prime
 1867         is a prime
 1871         is a prime
 1873         is a prime
 1877         is a prime
 1879         is a prime
 1889         is a prime
 1901         is a prime
 1907         is a prime
 1913         is a prime
 1931         is a prime
 1933         is a prime
 1949         is a prime
 1951         is a prime
 1973         is a prime
 1979         is a prime
 1987         is a prime
 1993         is a prime
 1997         is a prime
 1999         is a prime
 2003         is a prime
 2011         is a prime
 2017         is a prime
 2027         is a prime
 2029         is a prime
 2039         is a prime
 2053         is a prime
 2063         is a prime
 2069         is a prime
 2081         is a prime
 2083         is a prime
 2087         is a prime
 2089         is a prime
 2099         is a prime
 2111         is a prime
 2113         is a prime
 2129         is a prime
 2131         is a prime
 2137         is a prime
 2141         is a prime
 2143         is a prime
 2153         is a prime
 2161         is a prime
 2179         is a prime
 2203         is a prime
 2207         is a prime
 2213         is a prime
 2221         is a prime
 2237         is a prime
 2239         is a prime
 2243         is a prime
 2251         is a prime
 2267         is a prime
 2269         is a prime
 2273         is a prime
 2281         is a prime
 2287         is a prime
 2293         is a prime
 2297         is a prime
 2309         is a prime
 2311         is a prime
 2333         is a prime
 2339         is a prime
 2341         is a prime
 2347         is a prime
 2351         is a prime
 2357         is a prime
 2371         is a prime
 2377         is a prime
 2381         is a prime
 2383         is a prime
 2389         is a prime
 2393         is a prime
 2399         is a prime
 2411         is a prime
 2417         is a prime
 2423         is a prime
 2437         is a prime
 2441         is a prime
 2447         is a prime
 2459         is a prime
 2467         is a prime
 2473         is a prime
 2477         is a prime
 2503         is a prime
 2521         is a prime
 2531         is a prime
 2539         is a prime
 2543         is a prime
 2549         is a prime
 2551         is a prime
 2557         is a prime
 2579         is a prime
 2591         is a prime
 2593         is a prime
 2609         is a prime
 2617         is a prime
 2621         is a prime
 2633         is a prime
 2647         is a prime
 2657         is a prime
 2659         is a prime
 2663         is a prime
 2671         is a prime
 2677         is a prime
 2683         is a prime
 2687         is a prime
 2689         is a prime
 2693         is a prime
 2699         is a prime
 2707         is a prime
 2711         is a prime
 2713         is a prime
 2719         is a prime
 2729         is a prime
 2731         is a prime
 2741         is a prime
 2749         is a prime
 2753         is a prime
 2767         is a prime
 2777         is a prime
 2789         is a prime
 2791         is a prime
 2797         is a prime
 2801         is a prime
 2803         is a prime
 2819         is a prime
 2833         is a prime
 2837         is a prime
 2843         is a prime
 2851         is a prime
 2857         is a prime
 2861         is a prime
 2879         is a prime
 2887         is a prime
 2897         is a prime
 2903         is a prime
 2909         is a prime
 2917         is a prime
 2927         is a prime
 2939         is a prime
 2953         is a prime
 2957         is a prime
 2963         is a prime
 2969         is a prime
 2971         is a prime
 2999         is a prime
 3001         is a prime
 3011         is a prime
 3019         is a prime
 3023         is a prime
 3037         is a prime
 3041         is a prime
 3049         is a prime
 3061         is a prime
 3067         is a prime
 3079         is a prime
 3083         is a prime
 3089         is a prime
 3109         is a prime
 3119         is a prime
 3121         is a prime
 3137         is a prime
 3163         is a prime
 3167         is a prime
 3169         is a prime
 3181         is a prime
 3187         is a prime
 3191         is a prime
 3203         is a prime
 3209         is a prime
 3217         is a prime
 3221         is a prime
 3229         is a prime
 3251         is a prime
 3253         is a prime
 3257         is a prime
 3259         is a prime
 3271         is a prime
 3299         is a prime
 3301         is a prime
 3307         is a prime
 3313         is a prime
 3319         is a prime
 3323         is a prime
 3329         is a prime
 3331         is a prime
 3343         is a prime
 3347         is a prime
 3359         is a prime
 3361         is a prime
 3371         is a prime
 3373         is a prime
 3389         is a prime
 3391         is a prime
 3407         is a prime
 3413         is a prime
 3433         is a prime
 3449         is a prime
 3457         is a prime
 3461         is a prime
 3463         is a prime
 3467         is a prime
 3469         is a prime
 3491         is a prime
 3499         is a prime
 3511         is a prime
 3517         is a prime
 3527         is a prime
 3529         is a prime
 3533         is a prime
 3539         is a prime
 3541         is a prime
 3547         is a prime
 3557         is a prime
 3559         is a prime
 3571         is a prime
 3581         is a prime
 3583         is a prime
 3593         is a prime
 3607         is a prime
 3613         is a prime
 3617         is a prime
 3623         is a prime
 3631         is a prime
 3637         is a prime
 3643         is a prime
 3659         is a prime
 3671         is a prime
 3673         is a prime
 3677         is a prime
 3691         is a prime
 3697         is a prime
 3701         is a prime
 3709         is a prime
 3719         is a prime
 3727         is a prime
 3733         is a prime
 3739         is a prime
 3761         is a prime
 3767         is a prime
